id,elo_overall,match_number
vincent millot-fr-86,1706,0
robert kendrick-un-79,1706,0
teymuraz gabashvili-ru-85,1706,0
nikola mektic-cr-88,1706,0
andreas haider maurer-au-87,1705,0
yuichi sugita-ja-88,1704,0
marcel felder-ur-84,1704,0
denis istomin-uz-86,1704,0
nicolas massu-ch-79,1704,0
bastian knittel-ge-83,1704,0
goran tosic-mo-82,1704,0
matteo marrai-it-86,1703,0
ruben bemelmans-be-88,1703,0
agustin calleri-ar-76,1702,0
ricardo hocevar-br-85,1702,0
luigi dagord-it-84,1702,0
bob bryan-un-78,1701,0
jesse levine-ca-87,1701,0
mischa zverev-ge-87,1701,0
bjorn phau-ge-79,1701,0
harel levy-is-78,1701,0
andrei mlendea-ro-84,1701,0
ricardo mello-br-80,1700,0
michael lammer-sw-82,1699,0
ryan sweeting-un-87,1698,0
sebastien de chaunac-fr-77,1698,0
daniel king turner-ne-84,1698,0
dominik meffert-ge-81,1697,0
leonardo mayer-ar-87,1697,0
antonio veic-cr-88,1696,0
guillermo garcia lopez-sp-83,1696,0
albert ramos-sp-88,1696,0
joao souza-br-88,1695,0
evgeny kirillov-ru-87,1695,0
arnau brugues davi-sp-85,1695,0
daniel dutra da silva-br-88,1695,0
jan mertl-cz-82,1694,0
kevin kim-un-78,1694,0
andrea arnaboldi-it-87,1693,0
raemon sluiter-ne-78,1693,0
antonio pastorino-ar-82,1692,0
peter gojowczyk-ge-89,1692,0
amer delic-bo-82,1691,0
jean rene lisnard-mo-79,1691,0
michael mcclune-un-89,1691,0
john millman-au-89,1691,0
paul capdeville-ch-83,1691,0
gabriel moraru-ro-82,1690,0
frederik nielsen-de-83,1690,0
julio peralta-ch-81,1689,0
lars poerschke-ge-84,1689,0
jerzy janowicz-po-90,1689,0
donald young-un-89,1689,0
simone vagnozzi-it-83,1687,0
reda el amrani-mo-88,1687,0
leonardo kirche-br-85,1687,0
henri kontinen-fi-90,1687,0
yuki bhambri-in-92,1687,0
ivan sergeyev-uk-88,1686,0
teodor dacian craciun-ro-80,1686,0
gilles muller-lu-83,1684,0
kevin anderson-so-86,1684,0
pablo santos-sp-84,1683,0
marinko matosevic-au-85,1683,0
jesse huta galung-ne-85,1683,0
juan pablo villar-ar-82,1683,0
ivan miranda-pe-80,1683,0
javier genaro martinez-sp-79,1683,0
alexander satschko-ge-80,1682,0
adrian ungur-ro-85,1681,0
gero kretschmer-ge-85,1680,0
brydan klein-au-89,1680,0
michel koning-ne-84,1678,0
gustavo kuerten-br-76,1678,0
luis horna-pe-80,1678,0
danai udomchoke-th-81,1677,0
edouard roger vasselin-fr-83,1677,0
francesco aldi-it-81,1677,0
stefan koubek-au-77,1676,0
rik de voest-so-80,1676,0
rajeev ram-un-84,1675,0
colin fleming-gr-84,1675,0
richard bloomfield-gr-83,1675,0
sam warburg-un-83,1675,0
juan martin aranguren-ar-83,1674,0
carlos berlocq-ar-83,1674,0
chris guccione-au-85,1673,0
filip prpic-sw-82,1673,0
takao suzuki-ja-76,1673,0
jimmy wang-ch-85,1673,0
andrey kuznetsov-ru-91,1672,0
peter polansky-ca-88,1672,0
ilija bozoljac-se-85,1671,0
davide sanguinetti-it-72,1671,0
tatsuma ito-ja-88,1671,0
pablo galdon-ar-85,1670,0
antony dupuis-fr-73,1670,0
andrei pavel-ro-74,1670,0
andreas vinciguerra-sw-81,1669,0
guillermo hormazabal-ch-85,1668,0
grega zemlja-sl-86,1668,0
kyu tae im-so-81,1668,0
artem sitak-ne-86,1668,0
illya marchenko-uk-87,1668,0
dieter kindlmann-ge-82,1668,0
pablo andujar-sp-86,1668,0
gabriel trujillo soler-sp-79,1668,0
andre begemann-ge-84,1667,0
andrea stoppini-it-80,1667,0
marc sieber-ge-88,1667,0
rogerio dutra silva-br-84,1666,0
juan pablo brzezicki-ar-82,1666,0
charles antoine brezac-fr-85,1666,0
andre miele-br-87,1666,0
kamil capkovic-sl-86,1665,0
alexander flock-ge-83,1665,0
adam kellner-hu-86,1665,0
louk sorensen-ir-85,1665,0
shao xuan zeng-ch-81,1665,0
ivan navarro-sp-81,1665,0
ti chen-ch-83,1664,0
haithem abid-tu-85,1664,0
laurent recouderc-fr-84,1664,0
janez semrajc-sl-89,1663,0
jiri vanek-cz-78,1663,0
vladimir voltchkov-be-78,1663,0
dominik hrbaty-sl-78,1662,0
ivan dodig-cr-85,1661,0
benedikt dorsch-ge-81,1661,0
timo nieminen-fi-81,1661,0
yuri schukin-ka-79,1660,0
sergio gutierrez ferrol-sp-89,1660,0
go soeda-ja-84,1660,0
frederic niemeyer-ca-76,1660,0
pavel snobel-cz-80,1659,0
theodoros angelinos-gr-84,1659,0
tsung hua yang-ch-91,1659,0
michael yani-un-80,1659,0
jean yves aubone-un-88,1659,0
adrian garcia-ch-78,1658,0
talal ouahabi-mo-78,1658,0
martin alund-ar-85,1658,0
dusan lojda-cz-88,1657,0
juan sebastian cabal-co-86,1657,0
guillermo olaso-sp-88,1657,0
stefano galvani-it-77,1657,0
augustin gensse-fr-83,1656,0
franco ferreiro-br-84,1656,0
tiago lopes-br-86,1655,0
alexandre sidorenko-fr-88,1655,0
james lemke-au-88,1655,0
eladio ribeiro neto-br-86,1655,0
aldin setkic-bo-87,1655,0
benjamin balleret-mo-83,1655,0
lukas rosol-cz-85,1655,0
daniel evans-gr-90,1655,0
colin ebelthite-au-84,1654,0
guillermo alcaide-sp-86,1654,0
brian dabul-ar-84,1654,0
diego hartfield-ar-81,1654,0
kristijan mesaros-cr-88,1653,0
roko karanusic-cr-82,1653,0
conor niland-ir-81,1653,0
alex bogdanovic-gr-84,1653,0
tobias clemens-ge-79,1652,0
tobias kamke-ge-86,1652,0
adam chadaj-po-84,1652,0
catalin ionut gard-ro-81,1652,0
thomas schoorel-ne-89,1651,0
marcelo demoliner-br-89,1651,0
lester cook-un-84,1651,0
lionel noviski-ar-83,1650,0
caio zampieri-br-86,1650,0
jonathan dasnieres de veigy-fr-87,1649,0
alexander kudryavtsev-ru-85,1649,0
daniele giorgini-it-84,1649,0
jean christophe faurel-fr-81,1649,0
james ward-gr-87,1648,0
blaz kavcic-sl-87,1648,0
andrey kumantsov-ru-86,1647,0
malek jaziri-tu-84,1647,0
flavio cipolla-it-83,1647,0
sascha kloer-ge-85,1646,0
alejandro fabbri-ar-82,1646,0
grigor dimitrov-bu-91,1646,0
pierre ludovic duclos-ca-86,1646,0
petar jelenic-cr-87,1646,0
dustin brown-ge-84,1645,0
diego alvarez-ar-80,1645,0
sherif sabry-eg-86,1645,0
ruben ramirez hidalgo-sp-78,1645,0
facundo bagnis-ar-90,1645,0
daniel munoz de la nava-sp-82,1644,0
miguel gallardo valles-me-81,1644,0
valery rudnev-ru-88,1644,0
thomas fabbiano-it-89,1643,0
rodrigo guidolin-br-85,1643,0
nathan thompson-un-82,1643,0
rabie chaki-mo-82,1643,0
bohdan ulihrach-cz-75,1643,0
michael ryderstedt-sw-84,1642,0
piero luisi-ve-87,1642,0
milos raonic-ca-90,1642,0
leonardo tavares-po-84,1641,0
marius copil-ro-90,1641,0
alexander sadecky-sw-87,1641,0
igor sijsling-ne-87,1641,0
marco mirnegg-au-82,1640,0
bartolome salva vidal-sp-86,1640,0
ryan harrison-un-92,1640,0
nikola ciric-se-83,1640,0
inigo cervantes huegun-sp-89,1640,0
xavier pujo-fr-77,1640,0
robin roshardt-sw-88,1639,0
matteo viola-it-87,1639,0
guillermo rivera aranguiz-ch-89,1639,0
marc fornell mestres-sp-82,1639,0
david goffin-be-90,1639,0
jeroen masson-be-81,1639,0
mathieu rodrigues-fr-85,1638,0
jose rubin statham-ne-87,1638,0
dick norman-be-71,1638,0
greg jones-au-89,1637,0
martin verkerk-ne-78,1637,0
kornel bardoczky-hu-78,1637,0
frederic jeanclaude-fr-81,1637,0
massimo dellacqua-it-79,1637,0
nick lindahl-au-88,1637,0
adrians zguns-la-81,1637,0
petru alexandru luncanu-ro-89,1636,0
cristian villagran-ar-82,1636,0
jonathan gonzalia-ar-83,1636,0
morgan phillips-gr-84,1635,0
david savic-se-85,1635,0
josh goodall-gr-85,1635,0
jan minar-cz-81,1634,0
